,PA,cover,suitability9,suitability12,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords$lat,coords$lon
8,0,0,NA,NA,-4.9375,NA,51,14,0,0.000981247,NA,NA,NA,45.35316351,-60.97181541
9,0,0,186,135,-4.901474953,2.190562963,46,6,0,0.156527147,NA,NA,NA,45.35252196,-60.95351839
10,0,0,NA,NA,-2.855499983,NA,55,8,0,0.023139663,NA,NA,NA,45.35153761,-61.02281097
11,0,0,62,73,-8.095399857,2.250249386,40,8,0,0.375189185,NA,NA,NA,45.34956846,-60.92949743
12,0,0,550,244,-6.120999813,0.522033691,48,3,0,0.066629149,NA,NA,NA,45.34780312,-60.97156014
13,0,0,265,149,-7.779970646,15.24016571,43,1,0,0.015568888,NA,NA,NA,45.34559234,-60.98906328
14,0,0,145,117,-3.397500038,2.574091673,45,7,0,0.300406218,NA,NA,NA,45.34289205,-60.94359022
16,0,0,NA,NA,-2.597418547,1.299071908,38,6,0,NA,NA,NA,NA,45.31278322,-60.96879166
18,0,0,NA,NA,-3.210249901,2.87378335,24,9,0,NA,NA,NA,NA,45.28308381,-60.96405052
19,0,0,82,113,-5.480999947,2.463450909,21,1,0,0.201592311,NA,NA,NA,45.25353838,-61.04004329
20,0,0,253,113,-4.759571075,4.390132427,4,0,1,0.000899172,NA,NA,NA,45.23317691,-61.77021905
21,0,0,NA,NA,-5.693610668,5.922494411,4,1,1,NA,NA,NA,NA,45.22831225,-61.75739428
22,0,0,157,150,-4.143109798,3.506291628,2,2,1,0.002205824,NA,NA,NA,45.21757422,-61.72642452
23,0,0,139,94,-7.964075089,3.837179422,2,3,1,0.001595871,NA,NA,NA,45.21512875,-61.73316533
24,0,0,164,187,-6.631102085,0.365463078,1,0,1,0.002780296,NA,NA,NA,45.21248979,-61.72252647
25,0,0,129,183,-3.457413435,3.731480837,2,2,3,0.002636217,NA,NA,NA,45.20584033,-61.7195556
26,0,0,NA,NA,-1.898414731,NA,7,7,3,0.002400235,NA,NA,NA,45.20046572,-61.71789365
27,0,0,309,375,-1.308737159,1.989614725,10,0,1,0.000898183,NA,NA,NA,45.19834569,-61.67026025
28,0,0,283,310,-3.68902564,0.536100507,8,-1,1,0.001230891,NA,NA,NA,45.19546939,-61.66676249
29,0,0,495,496,-0.146018192,1.446789145,12,3,3,0.0017368,NA,NA,NA,45.19066663,-61.66019129
30,0,0,303,347,-3.818850517,0.320319742,8,0,1,0.001726283,NA,NA,NA,45.19040383,-61.66465301
31,0,0,197,199,-5.964390278,0.496662289,6,-1,1,0.005789598,NA,NA,NA,45.18243553,-61.65682046
32,0,0,NA,NA,0.363784105,NA,12,10,3,0.000736247,NA,NA,NA,45.18091207,-61.71610525
33,0,0,156,175,-7.464652061,1.042724967,6,-1,1,0.031563349,NA,NA,NA,45.18018352,-61.65286414
34,0,0,332,365,-1.852685571,2.501671314,17,0,3,0.122215375,NA,NA,NA,45.17731043,-61.45114172
35,0,0,205,183,-5.217710018,1.045653582,8,0,1,0.003389238,NA,NA,NA,45.17894988,-61.65512056
36,0,0,224,301,-3.720848799,0.217839077,16,0,1,0.174849153,NA,NA,NA,45.17443363,-61.44810171
37,0,0,212,169,-4.611757755,3.563736439,8,1,1,0.023608716,NA,NA,NA,45.17578444,-61.65385876
38,0,0,92,163,-2.892157555,1.656562567,17,2,3,0.290104449,NA,NA,NA,45.17144733,-61.43704765
39,0,0,269,152,-4.13284111,3.707270384,9,7,1,0.001426897,NA,NA,NA,45.17454225,-61.71001237
40,0,0,95,157,-5.467635155,0.425469637,14,0,1,0.225342482,NA,NA,NA,45.17064222,-61.4473139
42,0,0,153,160,-6.022661209,1.088881731,6,0,1,0.003565167,NA,NA,NA,45.17161089,-61.64727598
43,0,0,NA,NA,-2.330492258,NA,11,10,1,NA,NA,NA,NA,45.17102206,-61.70519241
44,0,0,308,210,-3.701065302,2.49922514,10,3,0,0.002163245,NA,NA,NA,45.16936385,-61.64376605
45,0,0,270,243,-2.957405806,1.781139255,18,3,3,0.142188311,NA,NA,NA,45.16691128,-61.45097826
46,0,0,331,213,-3.328620195,6.425028801,11,4,3,0.081049107,NA,NA,NA,45.16914904,-61.65223354
48,0,0,169,117,-9.365418434,5.205289841,5,-1,0,0.03362688,NA,NA,NA,45.16783652,-61.64781071
49,0,0,344,288,-2.619120121,2.450774431,12,4,0,0.001714422,NA,NA,NA,45.16780485,-61.64513919
52,0,0,405,454,-0.905704975,1.677762866,13,4,2,0.000768268,NA,NA,NA,45.16554715,-61.64073911
53,0,0,126,263,-1.750622272,0.579621315,18,5,3,0.393637449,NA,NA,NA,45.1630836,-61.44751927
