"","X.1","X","PA","cover","suitability8","suitability9","bathy_m","slope","bpi_broad","bpi_fine","sub_type","rei","temp1m_median","temp1m_qrange","ws1m_q90","coords.lat","coords.lon","biomass"
"1",164,164,0,0,121,607,-0.864400089,0.985285938,19,1,1,0.055665776,15.17800045,0.512000024,0.079000004,45.09629665,-61.72823398,23.549243
"2",167,167,0,0,261,272,-2.486318827,3.300198078,2,-2,1,0.001144362,21.82600021,2.354000092,0.377000004,45.08184481,-61.94913082,23.549243
"3",168,168,0,0,746,717,1,0,7,1,1,0.031080935,21.3939991,3.084000111,0.150000006,45.07918047,-61.93361554,23.549243
"4",170,170,0,0,617,630,1,0,7,1,1,0.001742138,21.69599915,2.743999958,0.136000007,45.07890276,-61.93762289,23.549243
"5",172,172,0,0,30,77,-7.429384232,5.098628998,10,2,1,0.174561858,12.04199982,0.453999996,0.052000001,45.07740329,-61.81714363,23.549243
"6",174,174,0,0,245,363,-2.233574867,0.671382725,4,-2,1,0.00184504,21.48699951,3.267999887,0.181999996,45.07698372,-61.93454575,23.549243
"7",176,176,0,0,33,91,-4.977475166,2.368991137,12,3,3,0.187379017,12.79699993,0.674000025,0.048,45.07520752,-61.81807825,23.549243
"8",177,177,0,0,53,173,-1.959441543,2.09274888,15,3,1,0.157865718,13.6260004,0.879999995,0.044,45.07398888,-61.82210522,23.549243
"9",181,181,0,0,471,602,0.822462559,0.205133632,8,1,1,0.001533392,21.3939991,3.704999924,0.143999994,45.07350202,-61.93283187,23.549243
"10",192,192,0,0,308,387,-2.206211805,0.765763283,7,-1,1,0.002262956,19.74399948,6.508999825,0.175999999,45.07055414,-61.92088193,23.549243
"11",193,193,0,0,720,710,1,0,11,1,1,0.002271096,18.95000076,6.497000217,0.187999994,45.07049939,-61.91510288,23.549243
"12",196,196,0,0,398,462,-3.030751705,3.857017517,7,-2,1,0.004304612,18.4659996,6.663000107,0.263000011,45.06859667,-61.91380505,23.549243
"13",199,199,0,0,636,357,0.604716361,1.104951739,18,4,3,0.182810619,14.06900024,1.200999975,0.041999999,45.0656524,-61.83872607,23.549243
"14",200,200,0,0,623,508,0.931246281,0.566177547,18,5,3,0.217321336,14.19400024,1.177999973,0.055,45.06492709,-61.8294046,23.549243
"15",201,201,0,0,31,77,-5.744636059,1.652167559,12,2,3,0.220412776,12.94699955,0.768999994,0.082000002,45.06481264,-61.8182925,23.549243
"16",204,204,0,0,216,170,-4.234477997,0.686397612,13,0,1,0.195776209,13.50699997,0.994000018,0.037999999,45.06221449,-61.84146303,23.549243
"17",206,206,0,0,690,675,1,0,13,1,1,0.001682621,16.77199936,5.994999886,0.289999992,45.06096439,-61.90639228,23.549243
"18",207,207,0,0,44,119,-2.416479826,3.069453716,15,9,3,0.22866182,12.38000011,0.629000008,0.067000002,45.06007849,-61.81750095,23.549243
"19",208,208,0,0,696,582,0.089712292,3.221165895,12,0,1,0.035911489,16.86300087,6.349999905,0.282000005,45.05973835,-61.90997196,23.549243
"20",209,209,0,0,398,254,-3.087052584,0.725677371,14,1,1,0.157343134,13.47099972,0.949999988,0.041000001,45.05880348,-61.84686629,23.549243
"21",210,210,0,0,219,197,-5.373233795,2.306234598,7,-4,1,0.03613615,16.56200027,5.875,0.333000004,45.05845284,-61.90732922,23.549243
"22",211,211,0,0,125,77,-8.512724876,0.368119389,9,0,1,0.265584379,12.41300011,0.791999996,0.046,45.05651742,-61.838911,23.549243
"23",212,212,0,0,29,76,-8.331461906,1.080294013,9,0,2,0.225605875,12.59899998,0.787,0.045000002,45.0533945,-61.84164114,23.549243
"24",215,215,0,0,596,522,-1.71903801,0.452991813,13,0,1,0.09101551,15.34500027,4.978000164,0.204999998,45.04954298,-61.89816524,23.549243
"25",216,216,0,0,628,539,-1.61899364,0.684851885,14,0,2,0.103435859,15.02600002,4.368999958,0.215000004,45.0482572,-61.89552323,23.549243
"26",217,217,0,0,67,129,-0.055393372,1.737816095,18,9,3,0.380080283,12.74800014,0.875,0.082000002,45.04771548,-61.84086689,23.549243
"27",218,218,0,0,459,390,-2.797394037,0.488129437,13,0,1,0.131728292,14.29399967,3.236000061,0.149000004,45.04791207,-61.89241875,23.549243
"28",219,219,0,0,289,336,-3.288828373,0.822238266,13,0,2,0.132287845,14.125,2.619999886,0.108999997,45.04725184,-61.8893204,23.549243
"29",220,220,0,0,470,550,-2.001497984,0.212413549,14,0,2,0.131881252,13.94499969,2.670000076,0.116999999,45.04601772,-61.89201088,23.549243
"30",221,221,0,0,337,169,-1.886363626,1.536864042,15,3,3,0.179346994,13.97700024,1.531000018,0.061000001,45.04592245,-61.88223523,23.549243
"31",222,222,0,0,148,76,-5.688635826,1.165826797,12,0,1,0.243818209,12.83500004,1.220999956,0.048,45.04366947,-61.87739055,23.549243
"32",223,223,0,0,162,116,-6.267918587,0.362979233,11,0,1,0.161787927,13.13799953,1.307000041,0.066,45.04248346,-61.88496863,23.549243
"33",224,224,0,0,119,69,-7.908193588,0.437489361,10,0,1,0.274808615,12.76000023,1.17900002,0.046999998,45.04204191,-61.87208957,23.549243
"34",225,225,0,0,199,257,-3.87360692,1.24214077,13,0,1,0.127804786,13.95300007,1.881000042,0.064000003,45.04193126,-61.89297857,23.549243
"35",226,226,0,0,30,55,-6.145990372,2.281893969,12,3,3,0.395578921,12.63199997,0.964999974,0.097000003,45.041123,-61.843222,23.549243
"36",227,227,0,0,141,87,-7.842430115,0.138760492,10,0,1,0.205482945,12.34700012,0.968999982,0.052999999,45.03866863,-61.88148773,23.549243
"37",228,228,0,0,61,131,-0.426493406,2.543794394,18,8,3,0.334102124,13.27799988,1.152999997,0.071000002,45.03812944,-61.85883531,23.549243
"38",229,229,0,0,46,153,-6.513183117,2.697878122,7,0,1,0.004420383,13.52700043,0.80400002,0.037,44.96614121,-62.08705302,23.549243
"39",230,230,0,0,118,135,-7.024219513,2.686188221,4,-2,1,0.002532673,13.39400005,1.143000007,0.044,44.96162982,-62.15591047,23.549243
"40",234,234,0,0,110,451,-0.89386791,3.213572025,13,4,1,0.002120206,13.74300003,0.947000027,0.026000001,44.94570236,-62.1752212,23.549243
"41",235,235,0,0,597,482,-1.946590781,1.297016263,12,1,3,0.025052361,14.57400036,1.30400002,0.052999999,44.94493396,-62.20007668,23.549243
"42",236,236,0,0,191,175,-5.411813259,2.163769007,9,-1,2,0.014792068,14.73200035,1.399999976,0.061999999,44.94421304,-62.18722096,23.549243
"43",238,238,0,0,141,190,-7.418572903,4.047118664,7,-3,1,0.004859501,13.86699963,1.116999984,0.063000001,44.94145919,-62.19879406,23.549243
"44",240,240,0,0,41,92,-2.776382446,1.33306241,19,8,3,0.292818487,11.35599995,1.177999973,0.066,44.93129039,-62.06321031,23.549243
"45",241,241,0,0,45,164,-5.765924454,1.567684889,11,3,3,0.069331996,12.43599987,0.742999971,0.064999998,44.93155891,-62.13727851,23.549243
"46",242,242,0,0,43,180,-8.725289345,1.286154509,8,-3,1,0.056515455,13.04199982,0.898999989,0.097999997,44.93113973,-62.16567167,23.549243
"47",243,243,0,0,584,576,-2.290910244,0.137503937,11,0,1,0.004029197,14.86999989,1.707999945,0.029999999,44.92465832,-62.27796979,23.549243
"48",244,244,0,0,87,447,-1.111257434,0.266190708,13,1,1,0.001525993,15.53800011,2.095000029,0.030999999,44.92336719,-62.27310763,23.549243
"49",246,246,0,0,33,95,-6.007189274,0.676636398,10,4,3,0.239728332,11.55799961,0.842999995,0.082000002,44.92199469,-62.2088211,23.549243
"50",248,248,0,0,448,364,-1.38759768,2.148035765,12,0,1,0.001813906,17.14299965,1.832000017,0.041000001,44.91399179,-62.33752074,23.549243
"51",249,249,0,0,379,463,-0.499521345,0.561282277,14,0,1,0.00152211,18.87199974,2.700000048,0.044,44.91265889,-62.32512077,23.549243
"52",250,250,0,0,457,484,-3.414723396,0.212327793,10,-1,1,0.03091844,15.80300045,1.386000037,0.052999999,44.91244727,-62.3428593,23.549243
"53",251,251,0,0,363,450,-0.045951225,1.9919734,15,1,1,0.001061194,17.48900032,2.773000002,0.075000003,44.90920903,-62.32782141,23.549243
"54",252,252,0,0,35,58,-4.506511211,3.163925171,19,26,3,0.476610035,8.972999573,0.550999999,0.093999997,44.90709825,-62.07158385,23.549243
