source,subproject,id,site,subsite,year,month,day,SamplingType_1,SamplingType_2,SamplingType_3,latitude,longitude,seagrass,bathy_m,subObs,subObs_JT,SubObs_Jtcat,percent.cover,percent.cover.cat,percent.cover.notes,,
Blue Carbon,Preliminary,1,Port l'Hebert,Muddy,2017,9,8,Long core,,,43.86788,-64.9629,1,1.3,Mud,soft,1,NA,NA,,,
Blue Carbon,Preliminary,2,Port l'Hebert,Muddy,2017,9,14,Long core,,,43.86745,-64.96288,1,1.3,Mud,soft,1,NA,NA,,,
Blue Carbon,Preliminary,3,Port l'Hebert,Muddy,2017,9,14,Long core,,,43.86748,-64.96312,1,1.3,Mud,soft,1,NA,NA,,,
Blue Carbon,Preliminary,4,Port l'Hebert,Muddy,2017,9,14,Long core,,,43.86783,-64.9633,1,1.3,Mud,soft,1,NA,NA,,,
Blue Carbon,Preliminary,5,Port Joli,Sandy,2017,9,27,Long core,,,43.8725,-64.89531,0,1.2,Sand & Mud,soft,1,NA,NA,,,
Blue Carbon,Preliminary,6,Port Joli,Sandy,2017,9,27,Long core,,,43.87254,-64.89542,0,1.2,Sand & Mud,soft,1,NA,NA,,,
Blue Carbon,Preliminary,7,Port Joli,Sandy,2017,9,27,Long core,,,43.8718,-64.89529,1,1.2,Sand & Mud,soft,1,NA,NA,,,
Blue Carbon,Preliminary,8,Port Joli,Sandy,2017,9,27,Long core,,,43.87201,-64.89552,1,1.2,Sand & Mud,soft,1,NA,NA,,,
Blue Carbon,Preliminary,9,Port Joli,Sandy,2017,9,27,Long core,,,43.87206,-64.89586,1,1.2,Sand & Mud,soft,1,NA,NA,,,
Blue Carbon,Preliminary,10,Taylor’s Head,Shallow,2017,10,3,Long core,,,44.82057,-62.57187,0,3,Sand,soft,1,NA,NA,,,
Blue Carbon,Preliminary,11,Taylor’s Head,Shallow,2017,10,3,Long core,,,44.82006,-62.5717,1,3,Sand,soft,1,NA,NA,,,
Blue Carbon,Preliminary,12,Taylor’s Head,Shallow,2017,10,3,Long core,,,44.82033,-62.57182,1,3,Sand,soft,1,NA,NA,,,
Blue Carbon,Preliminary,13,Taylor’s Head,Shallow,2017,10,3,Long core,,,44.82043,-62.572,1,3,Sand,soft,1,NA,NA,,,
Blue Carbon,UBC,14,Inner Sambro Island,Deep,2021,6,21,Long core,,,44.45602,-63.58726,0,6.1,Sand,soft,1,NA,NA,,,
Blue Carbon,UBC,15,Inner Sambro Island,Deep,2021,6,21,Long core,,,44.45579,-63.58738,0,6.1,Sand,soft,1,NA,NA,,,
Blue Carbon,UBC,16,Inner Sambro Island,Deep,2021,6,21,Long core,,,44.45598,-63.58779,1,6.1,Sand,soft,1,NA,NA,,,
Blue Carbon,UBC,17,Inner Sambro Island,Deep,2021,6,21,Long core,,,44.45598,-63.58759,1,6.1,Sand,soft,1,NA,NA,,,
Blue Carbon,UBC,18,Inner Sambro Island,Deep,2021,6,21,Long core,,,44.45585,-63.5877,1,6.1,Sand,soft,1,NA,NA,,,
Blue Carbon,UBC,19,Taylor’s Head,Deep,2021,6,18,Long core,,,44.82008,-62.57251,0,5,Sand,soft,1,NA,NA,,,
Blue Carbon,UBC,20,Taylor’s Head,Deep,2021,6,8,Long core,,,44.82001,-62.57259,0,5,Sand,soft,1,NA,NA,,,
Blue Carbon,UBC,21,Taylor’s Head,Deep,2021,6,18,Long core,,,44.82017,-62.57258,1,5,Sand,soft,1,NA,NA,,,
Blue Carbon,UBC,22,Taylor’s Head,Deep,2021,6,18,Long core,,,44.82002,-62.5724,1,5,Sand,soft,1,NA,NA,,,
Blue Carbon,UBC,23,Taylor’s Head,Deep,2021,6,18,Long core,,,44.82,-62.57221,1,5,Sand,soft,1,NA,NA,,,
Blue Carbon,UBC,24,Taylor’s Head,Deep,2021,6,8,Long core,,,44.81998,-62.57236,1,5,Sand,soft,1,NA,NA,,,
Blue Carbon,UBC,25,Inner Sambro Island,Shallow,2021,6,21,Long core,,,44.45525,-63.58828,0,2.2,Sand,soft,1,NA,NA,,,
Blue Carbon,UBC,26,Inner Sambro Island,Shallow,2021,6,21,Long core,,,44.45546,-63.5882,0,2.2,Sand,soft,1,NA,NA,,,
Blue Carbon,UBC,27,Inner Sambro Island,Shallow,2021,6,21,Long core,,,44.45562,-63.58851,1,2.2,Sand,soft,1,NA,NA,,,
Blue Carbon,UBC,28,Inner Sambro Island,Shallow,2021,6,21,Long core,,,44.45546,-63.58873,1,2.2,Sand,soft,1,NA,NA,,,
Blue Carbon,UBC,29,Inner Sambro Island,Shallow,2021,6,21,Long core,,,44.45546,-63.5893,1,2.2,Sand,soft,1,NA,NA,,,
Monitoring,,30,Crescent Beach,,2020,9,,Video transect,,,44.2383,-64.40647,1,,Sand & Mud,soft,1,,,MonCresBTN,,where are the PA and % cover data for these transects?
Monitoring,,31,Crescent Beach,,2020,9,,Video transect,,,44.23778,-64.40753,1,,Sand & Mud,soft,1,,,MonCresBTS,,where are the PA and % cover data for these transects?
Monitoring,,32,Second Peninsula,,2020,9,,Video transect,,,44.40188,-64.28071,1,,Mud,soft,1,,,MonSecPTN,,where are the PA and % cover data for these transects?
