,X.1,X,PA,cover,suitability8,suitability9,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords.lat,coords.lon,biomass,cover.prop
1,728,728,1,1,331,406,-3.914189577,0.184154257,13,0,1,0.117382161,14.42099953,3.249000072,0.185000002,43.80545061,-64.91889091,23.696062,0.01
2,677,677,1,100,497,562,-0.54580301,1.467987299,6,0,1,0.003898319,21.4489994,3.167000055,0.203999996,43.86947879,-64.89655183,316.292443,0.99
3,239,239,1,0.166666672,66,259,-2.049405813,1.023350358,20,2,0,0.219645232,13.70199966,1.029999971,0.046999998,44.93910033,-62.0550984,23.56981186,0.001666667
4,522,522,1,0.425000012,61,293,-2.279447317,2.959265947,21,7,0,0.128841043,12.04100037,1.06099999,0.104000002,44.4383423,-64.09596251,23.60477732,0.00425
5,742,742,1,0.600000024,392,207,-1.791034341,2.775625944,15,3,0,0.192719802,14.96500015,1.662999988,0.169,43.69382619,-65.08470769,23.63059352,0.006
6,396,396,1,0.625,545,553,0.205342308,1.627492785,20,1,2,0.123484008,13.54100037,1.837000012,0.112000003,44.70878497,-62.83296334,23.63442198,0.00625
7,474,474,1,0.625,636,583,-1.5,0,7,0,1,0.003992811,13.67300034,0.713,0.034000002,44.6645992,-63.43442415,23.63442198,0.00625
8,477,477,1,0.833333313,460,488,-2.091763258,0.805215538,7,0,1,0.003222619,15.44999981,1.006000042,0.050999999,44.66144507,-63.43528356,23.66769119,0.008333333
9,379,379,1,1,754,716,1,0.009832351,10,0,1,0.002033781,19.69099998,3.654000044,0.151999995,44.71387409,-63.13033563,23.696062,0.01
10,384,384,1,1,753,742,1,0,10,0,1,0.001805557,19.69099998,3.654000044,0.151999995,44.71135343,-63.13032997,23.696062,0.01
11,417,417,1,1,723,637,-0.36371699,0.404771984,9,0,2,0.047366261,16.6989994,6.357999802,0.243000001,44.70278588,-63.17537416,23.696062,0.01
12,445,445,1,1,616,528,1,1.481949449,11,3,2,0.128122255,13.55000019,5.21600008,0.247999996,44.69427592,-63.17711541,23.696062,0.01
13,459,459,1,1,580,381,-0.18392311,1.046522737,10,3,2,0.166704163,12.61499977,3.072000027,0.244000003,44.68577876,-63.17046448,23.696062,0.01
14,553,553,1,1,114,616,-1.150340319,1.972994804,15,2,1,0.00474915,12.70600033,1.162999988,0.138999999,44.39537408,-64.23095845,23.696062,0.01
15,749,749,1,1,656,568,-2.319921017,0.664842665,12,0,1,0.063437141,16.88699913,1.345000029,0.086000003,43.64814794,-65.31313479,23.696062,0.01
16,488,488,1,1.174999952,551,443,-1.330493689,2.426383495,34,17,0,0.042147059,9.413999557,1.162999988,0.035999998,44.57899028,-63.94165593,23.72753071,0.01175
17,489,489,1,1.174999952,453,443,-3.087869167,1.082484484,21,28,0,0.019284869,9.687000275,0.490999997,0.035999998,44.54762788,-64.19538874,23.72753071,0.01175
18,526,526,1,1.25,126,519,-0.704133809,2.564535379,15,13,2,0.009434565,10.69400024,0.66900003,0.039999999,44.41144394,-64.25986932,23.74154394,0.0125
19,652,652,1,1.25,375,527,-0.404872626,0.391319633,18,0,1,0.000839357,16.92900085,3.582999945,0.079000004,44.13974292,-64.52493498,23.74154394,0.0125
20,642,642,1,1.590909123,386,502,0.757880092,0.391999811,5,1,1,0.000559096,18.64999962,2.798000097,0.089000002,44.14744747,-64.60653256,23.80922279,0.015909091
21,378,378,1,1.666666627,741,734,0.842205584,0.392152369,19,1,1,0.034536827,14.63199997,2.937999964,0.052999999,44.71411271,-62.81438888,23.8251491,0.016666666
22,393,393,1,1.785714269,642,661,0.030347157,0.71872431,19,1,1,0.106758833,13.98499966,2.318000078,0.129999995,44.70939707,-62.82103167,23.85082756,0.017857143
23,723,723,1,1.850000024,62,147,-2.128828526,4.781327724,17,4,0,0.34484762,14.81999969,1.713999987,0.093999997,43.81579554,-64.84567421,23.86502496,0.0185
24,355,355,1,2.5,675,610,0.415889382,6.229783058,13,4,1,0.002987362,13.92599964,4.481999874,0.540000021,44.72497615,-63.00705176,24.02161675,0.025
25,407,407,1,2.5,563,367,-2.379674196,0.17395395,18,0,1,0.176279634,12.45600033,1.513000011,0.129999995,44.70562959,-62.82987968,24.02161675,0.025
26,442,442,1,2.5,692,738,0.288056135,0.318780541,23,1,1,0.003548005,13.25500011,1.407999992,0.192000002,44.69493513,-62.84272141,24.02161675,0.025
27,469,469,1,2.5,692,629,-1.5,0,6,0,1,0.002948102,15.95699978,2.187999964,0.07,44.66737332,-63.45033991,24.02161675,0.025
28,470,470,1,2.5,706,645,-1.5,0,6,0,1,0.0036224,14.26000023,0.772000015,0.048,44.66740267,-63.44283414,24.02161675,0.025
29,618,618,1,2.5,606,650,1,0,6,1,1,0.001513476,20.16200066,3.34100008,0.050999999,44.1595888,-64.5946059,24.02161675,0.025
30,620,620,1,2.5,705,705,0.576290548,0.728235364,5,1,1,0.017316857,19.84499931,3.04399991,0.050999999,44.15861326,-64.59676819,24.02161675,0.025
31,628,628,1,2.5,565,506,-0.47015059,0.958536088,5,0,1,0.002396611,19.32099915,2.621999979,0.086999997,44.15423394,-64.59446166,24.02161675,0.025
32,648,648,1,2.5,633,611,-0.687741458,1.086312652,17,0,1,0.002884522,16.06699944,3.750999928,0.090000004,44.1463112,-64.52860508,24.02161675,0.025
33,671,671,1,2.5,731,729,0.529655576,0.095745556,4,0,1,0.003179071,22.69300079,3.315999985,0.083999999,43.87462272,-64.9093481,24.02161675,0.025
34,492,492,1,2.724999905,587,590,1,5.55630064,23,19,0,0.054529987,10.64099979,0.600000024,0.055,44.51500874,-64.21101549,24.0813512,0.027249999
35,694,694,1,4,658,549,-3.226780176,0.172963455,11,0,1,0.09715195,15.25699997,3.522000074,0.133000001,43.84780505,-64.87322242,24.473563,0.04
36,498,498,1,4.867965221,85,395,-3.100207567,3.649058104,34,8,0,0.039110556,11.05000019,1.031999946,0.097999997,44.47754938,-63.77102667,24.79280628,0.048679652
37,764,764,1,5,715,640,-1.804280877,0.27528882,13,0,1,0.03390079,16.98200035,1.521000028,0.052000001,43.55317804,-65.38012394,24.845078,0.05
38,718,718,1,6,781,728,0.205932394,0.632966459,14,1,1,0.027743062,17.23699951,5.302999973,0.298000008,43.81845143,-64.93279902,25.272767,0.06
39,412,412,1,6.666666508,503,287,-2.897522926,0.494641572,18,0,1,0.164976746,12.7329998,1.529000044,0.179000005,44.70437252,-62.83209241,25.5891007,0.066666665
40,754,754,1,7,154,562,-3.507691622,0.232827172,13,0,1,0.063833199,15.45699978,1.01699996,0.054000001,43.62000623,-65.33330994,25.75663,0.07
41,297,297,1,8.399999619,666,628,-0.79666239,0.367570728,17,2,1,0.0026686,12.90400028,1.325999975,0.039000001,44.80824166,-62.55649269,26.52841029,0.083999996
42,471,471,1,8.75,687,643,-1.5,0,6,0,1,0.003696459,13.50699997,0.634000003,0.046999998,44.66615261,-63.4401755,26.73855894,0.0875
43,568,568,1,8.75,107,547,0.211020127,0.673245907,17,3,1,0.002230609,13.79899979,2.539000034,0.152999997,44.37509449,-64.21208184,26.73855894,0.0875
44,175,175,1,10,769,758,0.827319145,0.083743915,8,1,1,0.019332921,21.04899979,4.017000198,0.165000007,45.07631213,-61.93011156,27.545263,0.1
45,178,178,1,10,745,720,0.938364327,0.120228723,9,1,1,0.002233138,20.73200035,5.149000168,0.152999997,45.07469953,-61.92613976,27.545263,0.1
46,179,179,1,10,672,681,0.414308101,0.61528939,8,0,1,0.002656275,20.96899986,4.993000031,0.143000007,45.07377539,-61.92838031,27.545263,0.1
47,189,189,1,10,674,609,0.178622082,0.988062561,8,0,1,0.002076491,20.44000053,6.136000156,0.148000002,45.07155363,-61.92664331,27.545263,0.1
48,190,190,1,10,585,477,-1.284316421,1.658403039,7,0,1,0.024973368,20.02300072,6.493999958,0.171000004,45.07152015,-61.9230869,27.545263,0.1
49,354,354,1,10,769,737,0.266157269,0.159084916,7,0,1,0.003098107,19.26600075,6.625,0.328999996,44.72555521,-63.10826329,27.545263,0.1
50,360,360,1,10,717,736,0.555324793,0.071310014,8,1,1,0.00195767,18.88400078,5.03000021,0.224999994,44.72113891,-63.1135583,27.545263,0.1
51,423,423,1,10,774,717,0.246209279,0.583810747,10,1,1,0.025393711,16.01600075,5.875,0.264999986,44.70089129,-63.17801914,27.545263,0.1
52,357,357,1,10.83333302,614,609,0.616007388,3.282284737,14,5,1,0.002551424,14.06900024,4.517000198,0.433999985,44.72340083,-63.00528375,28.13182763,0.10833333
53,643,643,1,11.25,413,509,1,0.220479697,5,1,1,0.000646653,19.27000046,2.854000092,0.028999999,44.14709553,-64.60914877,28.43973894,0.1125
54,687,687,1,12,640,575,-1.083074212,0.738410592,11,0,1,0.045420833,19.65299988,3.253000021,0.107000001,43.85984492,-64.8692443,29.018555,0.12
55,690,690,1,12,714,578,-2.267517567,0.114019476,11,0,1,0.096686825,17.12400055,3.812999964,0.136999995,43.85280875,-64.87555642,29.018555,0.12
56,398,398,1,12.1875,761,703,0.456094772,0.458105206,20,1,1,0.136041984,13.22299957,1.644999981,0.165000007,44.70816119,-62.83738353,29.16819618,0.121875
57,705,705,1,13,384,279,-3.976621151,0.149448842,13,0,1,0.158617318,14.0010004,3.391000032,0.126000002,43.83898609,-64.8729464,29.839462,0.13
58,345,345,1,13.33333302,660,594,0.733952105,0.561412156,12,4,1,0.003144153,14.42099953,4.400000095,0.400999993,44.72938659,-63.01456631,30.12558051,0.13333333
59,691,691,1,14,700,582,-2.683472157,0.16537863,11,0,1,0.096947618,16.12999916,3.670000076,0.131999999,43.8509404,-64.87419149,30.716543,0.14
60,160,160,1,14.39999962,108,602,-1.029286623,1.263459325,17,0,1,0.011647955,15.20800018,0.569000006,0.077,45.10322135,-61.72763534,31.08310377,0.143999996
