,X,PA,cover,suitability9,suitability12,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords.lat,coords.lon,biomass,cover.prop,cover.prop.br
1,242,1,0.166666672,259,204,-3.825928688,1.023350358,20,2,0,0.219645232,13.70199966,1.029999971,0.046999998,44.93910033,-62.0550984,23.56981186,0.001666667,0.001666667
2,524,1,0.425000012,293,183,-3.816124916,2.959265947,21,7,0,0.128841043,12.04100037,1.06099999,0.104000002,44.4383423,-64.09596251,23.60477732,0.00425,0.00425
3,743,1,0.600000024,207,147,-3.926789522,2.775625944,15,3,0,0.192719802,14.96500015,1.662999988,0.169,43.69382619,-65.08470769,23.63059352,0.006,0.006
4,395,1,0.625,681,642,0,0.672812998,20,2,1,0.127185747,13.86999989,2.266000032,0.135000005,44.70939637,-62.82058983,23.63442198,0.00625,0.00625
5,399,1,0.625,553,580,-0.794657707,1.627492785,20,1,2,0.123484008,13.54100037,1.837000012,0.112000003,44.70878497,-62.83296334,23.63442198,0.00625,0.00625
6,358,1,0.833333313,631,692,-0.681007862,0.575908363,13,4,1,0.00219258,14.36200047,4.659999847,0.414999992,44.72434579,-63.00970346,23.66769119,0.008333333,0.008333333
7,217,1,1,693,624,-2,0.338686615,16,2,1,0.076874807,15.73900032,2.480000019,0.072999999,45.05007824,-61.88837677,23.696062,0.01,0.01
8,383,1,1,673,658,-0.200000003,0.014400274,10,0,1,0.001690738,19.96500015,3.640000105,0.151999995,44.71324189,-63.13210172,23.696062,0.01,0.01
9,385,1,1,719,676,0,0.004248198,10,0,1,0.001855255,19.69099998,3.654000044,0.151999995,44.7119841,-63.12988952,23.696062,0.01,0.01
10,419,1,1,637,734,-0.899999976,0.404771984,9,0,2,0.047366261,16.6989994,6.357999802,0.243000001,44.70278588,-63.17537416,23.696062,0.01,0.01
11,461,1,1,381,446,-1.183923125,1.046522737,10,3,2,0.166704163,12.61499977,3.072000027,0.244000003,44.68577876,-63.17046448,23.696062,0.01,0.01
12,554,1,1,616,471,-1.371533036,1.972994804,15,2,1,0.00474915,12.70600033,1.162999988,0.138999999,44.39537408,-64.23095845,23.696062,0.01,0.01
13,750,1,1,568,328,-4.41938448,0.664842665,12,0,1,0.063437141,16.88699913,1.345000029,0.086000003,43.64814794,-65.31313479,23.696062,0.01,0.01
14,490,1,1.174999952,443,514,-3.608299971,2.426383495,34,17,0,0.042147059,9.413999557,1.162999988,0.035999998,44.57899028,-63.94165593,23.72753071,0.01175,0.01175
15,491,1,1.174999952,443,242,-4.931049824,1.082484484,21,28,0,0.019284869,9.687000275,0.490999997,0.035999998,44.54762788,-64.19538874,23.72753071,0.01175,0.01175
16,434,1,1.25,655,632,0,0.905657768,23,2,2,0.005830748,13.18200016,1.437000036,0.264999986,44.69839983,-62.8418285,23.74154394,0.0125,0.0125
17,645,1,1.25,575,638,-0.317996204,0.022383291,5,1,1,0.000654033,19.7670002,3.099999905,0.043000001,44.14708936,-64.60958623,23.74154394,0.0125,0.0125
18,724,1,1.850000024,147,96,-4.231500149,4.781327724,17,4,0,0.34484762,14.81999969,1.713999987,0.093999997,43.81579554,-64.84567421,23.86502496,0.0185,0.0185
19,357,1,2.5,610,519,-0.584110618,6.229783058,13,4,1,0.002987362,13.92599964,4.481999874,0.540000021,44.72497615,-63.00705176,24.02161675,0.025,0.025
20,386,1,2.5,640,600,0,1.048702598,20,2,1,0.109051697,14.09000015,2.697000027,0.046,44.71190786,-62.81483779,24.02161675,0.025,0.025
21,390,1,2.5,694,662,0,0.668649137,20,2,1,0.103716828,13.81099987,2.539999962,0.090999998,44.7103353,-62.81661023,24.02161675,0.025,0.025
22,469,1,2.5,644,569,-2.5,0,5,0,1,0.002792196,16.29899979,2.812000036,0.050999999,44.66798949,-63.45387695,24.02161675,0.025,0.025
