species,longitude,latitude
eelgrass,-63.2959,44.63492
eelgrass,-64.96381,43.86815
eelgrass,-64.93481,43.82879
eelgrass,-64.391,44.23485
eelgrass,-64.40527,44.2385
eelgrass,-64.40111,44.2374
eelgrass,-64.38289,44.23455
eelgrass,-64.26751,44.39221
eelgrass,-64.21266,44.39878
eelgrass,-64.37532,44.22113
eelgrass,-64.37413,44.21891
eelgrass,-64.37636,44.21392
eelgrass,-64.3811,44.214
eelgrass,-64.37987,44.19594
eelgrass,-64.38036,44.2218
eelgrass,-64.37797,44.22041
eelgrass,-64.37653,44.20073
eelgrass,-64.37567,44.1982
eelgrass,-64.37825,44.19756
eelgrass,-64.20778,44.40057
eelgrass,-64.21666,44.38657
eelgrass,-62.79105,44.74453
eelgrass,-62.79277,44.74587
eelgrass,-62.79021,44.74626
eelgrass,-64.40842,44.23776
eelgrass,-64.40404,44.23585
eelgrass,-64.39494,44.23568
eelgrass,-64.39723,44.23762
eelgrass,-63.9563,44.64144
eelgrass,-63.16619,44.71237
eelgrass,-63.94173,44.59113
eelgrass,-63.58618,44.45553
eelgrass,-63.59076,44.45499
eelgrass,-63.29367,44.63631
eelgrass,-64.28057,44.40201
eelgrass,-63.95327,44.6463
eelgrass,-63.95531,44.64519
eelgrass,-62.80083,44.74451
eelgrass,-64.8231,43.87176
eelgrass,-64.82131,43.87416
eelgrass,-63.29262,44.6346
eelgrass,-64.27858,44.38954
eelgrass,-64.89598,43.87188
eelgrass,-64.2375,44.39511
eelgrass,-62.57301,44.82035
eelgrass,-64.90065,43.87537
eelgrass,-64.38244,44.22302
eelgrass,-64.2793,44.39144
eelgrass,-64.96128,43.86729
eelgrass,-64.8187,43.9085
eelgrass,-62.7965,44.7444
eelgrass,-62.5763,44.8235
eelgrass,-63.952,44.648
eelgrass,-63.9438,44.5925
eelgrass,-64.779,43.908
eelgrass,-63.434,44.607
eelgrass,-65.055,43.7
eelgrass,-60.481,46.921
eelgrass,-63.241,44.703
eelgrass,-62.884,44.719
eelgrass,-63.433,44.657
eelgrass,-61.95,45.05
eelgrass,-63.41,44.667
eelgrass,-64.379,44.45
eelgrass,-59.852,46.134
eelgrass,-65.427,43.562
eelgrass,-64.557,44.096
eelgrass,-65.349,43.594
eelgrass,-64.88125,43.82557
eelgrass,-64.87991,43.84213
eelgrass,-64.84922,43.82209
eelgrass,-64.84773,43.82042
eelgrass,-64.8787,43.82545
eelgrass,-64.88017,43.82926
eelgrass,-64.8795,43.83111
eelgrass,-64.88116,43.84047
eelgrass,-64.83645,43.8284
eelgrass,-64.83692,43.83235
eelgrass,-64.88947,43.8674
eelgrass,-64.88653,43.86632
eelgrass,-64.83469,43.82501
eelgrass,-64.8611,43.85286
eelgrass,-64.86226,43.84157
eelgrass,-65.23425,43.6969
eelgrass,-65.16636,43.7111
eelgrass,-65.14234,43.71947
eelgrass,-65.14442,43.71371
eelgrass,-65.16664,43.71825
eelgrass,-65.23813,43.67928
eelgrass,-65.24077,43.68114
eelgrass,-65.1662,43.72528
eelgrass,-65.22776,43.70276
eelgrass,-65.15259,43.73413
eelgrass,-65.18693,43.70985
eelgrass,-65.18024,43.70369
eelgrass,-64.84607,43.92671
eelgrass,-64.84348,43.92713
eelgrass,-64.841,43.92817
eelgrass,-64.82087,43.90945
eelgrass,-64.80718,43.91477
eelgrass,-64.79096,43.9501
eelgrass,-64.82702,43.93635
eelgrass,-64.80098,43.89466
eelgrass,-64.79721,43.89276
eelgrass,-64.78365,43.91168
eelgrass,-64.77049,43.95324
eelgrass,-64.81874,43.94919
eelgrass,-64.82372,43.94701
eelgrass,-64.78042,43.90121
eelgrass,-64.83763,43.92499
eelgrass,-64.84006,43.9262
eelgrass,-64.77139,43.8979
eelgrass,-64.88519,43.79736
eelgrass,-64.88268,43.79687
eelgrass,-64.87631,43.79542
eelgrass,-64.88436,43.80059
eelgrass,-64.88125,43.79984
eelgrass,-64.87512,43.79826
eelgrass,-64.87898,43.80259
eelgrass,-64.86726,43.79974
eelgrass,-64.88337,43.80689
eelgrass,-64.87748,43.80565
eelgrass,-64.86635,43.80334
eelgrass,-64.88559,43.81013
eelgrass,-64.87285,43.80942
eelgrass,-64.88741,43.81301
eelgrass,-64.88091,43.81215
eelgrass,-64.88802,43.81601
eelgrass,-64.89075,43.81943
eelgrass,-64.88768,43.8184
eelgrass,-64.87346,43.81295
eelgrass,-64.88718,43.8216
eelgrass,-64.8793,43.81461
eelgrass,-64.87706,43.81742
eelgrass,-64.87481,43.81592
eelgrass,-64.87713,43.82403
eelgrass,-64.86911,43.81695
eelgrass,-64.88383,43.81551
eelgrass,-64.87252,43.82045
eelgrass,-64.87642,43.82744
eelgrass,-64.87124,43.82603
eelgrass,-64.87415,43.83034
eelgrass,-64.87176,43.82908
eelgrass,-64.87547,43.83331
eelgrass,-64.87248,43.8321
eelgrass,-64.87611,43.83633
